Country,Rev,Employees
United States,6028001,329064917
China,3312308,1433783686
Japan,1678000,126860301
Germany,2200000,83517045
India,544422,1366417754
France,1334000,65129728
United Kingdom,1077300,67530172
Italy,884500,60550075
Brazil,618853,211049527
Canada,623700,37411047
South Korea,351600,51225308
Russia,253900,145872256
Spain,492400,46736776
Australia,461000,25203198
Mexico,292800,127575529
Indonesia,130600,270625568
Netherlands,344800,17097130
Turkey,173900,83429615
Switzerland,223500,8591365
Saudi Arabia,260000,34268528
Argentina,123300,44780677
Poland,90800,37887768
Sweden,274800,10036379
Taiwan,93000,23773876
Belgium,249700,11539328
Thailand,82000,69625582
Austria,197800,8955102
Nigeria,13970,200963599
Norway,214300,5378857
United Arab Emirates,83440,9770529
Iran,77220,82913906
Ireland,85410,4882495
Malaysia,51230,31949777
Israel,92820,8519377
Hong Kong,66190,7436154
South Africa,92380,58558270
Denmark,173500,5771876
Singapore,53400,5804337
Philippines,44740,108116615
Colombia,85140,50339443
Bangladesh,27080,163046161
Finland,136800,5532156
Chile,56730,18952038
Czech Republic,83620,10689209
Romania,58500,19364557
Vietnam,54590,96462106
Portugal,92990,10226187
Peru,59660,32510453
Greece,95360,10473455
New Zealand,73200,4783063
Iraq,63970,39309783
Algeria,52080,43053054
Qatar,41470,2832067
Kazakhstan,34130,18551427
Hungary,63630,9684679
Kuwait,52870,4207083
Morocco,26630,36471769
Ukraine,35600,43993638
Angola,35590,31825295
Slovakia,37090,5457013
Ecuador,32300,17373662
Sri Lanka,12640,21323733
Puerto Rico,9268,2933408
Kenya,15370,52573973
Venezuela,77890,28515829
Ethiopia,12110,112078730
Guatemala,8335,17581472
Oman,22680,4974986
Dominican Republic,11180,10738958
Luxembourg,27600,615729
Myanmar,9211,54045420
Panama,12600,4246439
Bulgaria,19530,7000119
Uruguay,17690,3461734
Costa Rica,8262,5047561
Croatia,25790,4130304
Tanzania,7872,58005463
Belarus,22800,9452411
Slovenia,20200,2078654
Lithuania,21180,2759627
Macau,14240,640445
Ghana,9236,30417856
Lebanon,10900,6855713
Ivory Coast,7121,25716544
Serbia,16250,8772235
Azerbaijan,9852,10047718
Uzbekistan,20110,32981716
Libya,16330,6777452
Turkmenistan,4436,5942089
Jordan,9157,10101694
Bolivia,15010,11513100
DR Congo,3238,86790567
Tunisia,9397,11694719
Cameroon,5154,25876380
Bahrain,5463,1641172
Latvia,10130,1906743
Paraguay,5366,7044636
Estonia,9772,1325648
Iceland,9962,339031
El Salvador,5756,6453553
Uganda,4019,44269594
Nepal,10000,28608710
Papua New Guinea,3649,8776109
Zambia,4895,17861030
Cambodia,4268,16486542
Cyprus,7677,1198575
Honduras,4376,9746117
Afghanistan,1992,38041754
Trinidad and Tobago,6916,1394973
Senegal,3863,16296364
Bosnia and Herzegovina,7798,3301000
Zimbabwe,3600,14645468
Laos,3144,7169455
Botswana,5609,2303697
Mali,3068,19658031
Gabon,3122,2172579
Yemen,3467,29161922
Georgia,4260,3996765
Albania,3486,2880917
Malta,4295,440372
Burkina Faso,2635,20321378
Jamaica,4207,2948279
Nicaragua,3800,6545502
Mozambique,2758,30366036
Brunei,1435,433285
Mauritius,2912,1269668
Namibia,3967,2494530
Macedonia,3314,2083459
Mongolia,2623,3225167
Madagascar,1292,26969307
Bahamas,2100,389482
Armenia,2536,2957731
Chad,1178,15946876
Benin,1372,11801151
Guinea,1559,12771246
Equatorial Guinea,3186,1355986
Republic of the Congo,2516,5380508
Niger,1680,23310715
Rwanda,1874,12626950
Moldova,2796,4043263
Haiti,1580,11263077
Somalia,145,15442905
Tajikistan,2214,9321018
Kyrgyzstan,2050,6415850
Eritrea,2029,3497117
Malawi,1298,18628747
Togo,1469,8082366
Montenegro,1620,627987
Fiji,1446,889953
Mauritania,1248,4525696
Barbados,1350,287025
Maldives,960,530953
Swaziland,1150,1148130
Burundi,608,11530580
Suriname,546,581372
Sierra Leone,684,7813215
Guyana,939,782766
Liberia,626,4937374
Lesotho,1057,2125268
Timor-Leste,300,1293119
South Sudan,437,11062113
Bhutan,693,763092
Djibouti,700,973560
Central African Republic,231,4745185
Cape Verde,437,549935
Belize,500,390353
San Marino,668,33860
Saint Lucia,402,182790
Guinea-Bissau,226,1920922
Antigua and Barbuda,296,97118
Seychelles,572,97739
Solomon Islands,435,669823
Grenada,269,112003
Gambia,187,2347706
Saint Kitts and Nevis,370,52823
Vanuatu,204,299882
Samoa,233,197097
Saint Vincent and the Grenadines,222,110589
Comoros,149,850886
Dominica,148,71808
Sao Tome and Principe,114,215056
Tonga,133,104494
Micronesia,214,113815
Palau,124,18008
Kiribati,198,117606
Marshall Islands,117,58791
Nauru,58,10756
Tuvalu,43,11646
Andorra,1872,77142
Anguilla,95,14869
Aruba,697,106314
Bermuda,960,62506
British Virgin Islands,300,30030
Cayman Islands,870,64948
Cook Islands,87,17548
Cuba,52360,11333483
North Korea,3200,25666161
Egypt,35540,100388073
French Polynesia,1891,279287
Greenland,1578,56672
Liechtenstein,995,38019
Monaco,915,38964
Montserrat,37,4989
New Caledonia,996,282750
Pakistan,45640,216565318
Palestine,2750,4981420
Sudan,8198,42813238
Syria,1033,17070135
Turks and Caicos Islands,226,38191
