Date,Open,High,Low,Close,Shares Traded,Turnover
25-Oct-19,11646.15,11646.9,11490.75,11583.9,812027840,23611.51
27-Oct-19,11662.25,11672.4,11604.6,11627.15,161779004,3548.21
29-Oct-19,11643.95,11809.4,11627.35,11786.85,951722529,27054.87
30-Oct-19,11883.9,11883.95,11784.45,11844.1,725219760,22672.18
31-Oct-19,11890.45,11945,11855.1,11877.45,1414837250,31304.73
1-Nov-19,11886.6,11918.3,11843.35,11890.6,855338495,24933.55
4-Nov-19,11928.9,11989.15,11905.35,11941.3,823050457,23203.88
5-Nov-19,11974.6,11978.95,11861.9,11917.2,631952071,20995.88
6-Nov-19,11911.5,12002.9,11850.25,11966.05,603351290,23324.97
7-Nov-19,12021.1,12021.4,11946.85,12012.05,562963817,20898.24
8-Nov-19,11987.15,12034.15,11888.75,11908.15,789254360,22931.52
11-Nov-19,11879.2,11932.65,11853.95,11913.45,548979515,16548.47
13-Nov-19,11908.3,11946.8,11823.2,11840.45,659035969,20401.5
14-Nov-19,11858.75,11895.65,11802.65,11872.1,559494025,19114.86
15-Nov-19,11904.2,11973.65,11879.25,11895.45,580154179,22350.63
18-Nov-19,11915.15,11946.2,11867.6,11884.5,514352437,17991.41
19-Nov-19,11919.45,11958.85,11881.75,11940.1,613909679,21574.84
20-Nov-19,12004.75,12038.6,11966.05,11999.1,646661147,24341.14
21-Nov-19,12025.65,12028.2,11956.9,11968.4,557685781,21609.99
22-Nov-19,11967.3,11968.1,11883.5,11914.4,486815185,19243.57
25-Nov-19,11922.45,12084.5,11919.75,12073.75,534289467,19990.44
26-Nov-19,12110.2,12132.45,12006.35,12037.7,1201335831,46030.62
27-Nov-19,12068.5,12114.9,12055.15,12100.7,584226618,19937.4
28-Nov-19,12132.1,12158.8,12099.95,12151.15,620479403,21229.58
29-Nov-19,12146.2,12147.4,12017.4,12056.05,804430391,21838.04
2-Dec-19,12137.05,12137.15,12023.7,12048.2,720945335,23113.18
3-Dec-19,12067.65,12068.6,11956.4,11994.2,605789334,18203.76
4-Dec-19,11969.95,12054.7,11935.3,12043.2,747193818,22132.83
5-Dec-19,12071.25,12081.2,11998.75,12018.4,562228745,19589.81
6-Dec-19,12047.35,12057.05,11888.85,11921.5,609221205,18245.49
